violation_type,frame,track_id,leader_track_id,class_name,lane,d
Tailgating,175,22,111,car,Outer,1.2297884272950177
Tailgating,175,1,37,person,Outer,3.1578599920793518
Tailgating,175,104,116,car,Outer,0.1894357481334741
Tailgating,175,116,108,car,Outer,1.9230785890846844
Tailgating,176,109,22,car,Outer,1.2707392280448964
Tailgating,176,104,116,car,Outer,0.26893222396537053
Tailgating,176,116,120,car,Outer,0.4393002143988919
Tailgating,177,109,22,car,Outer,1.264560417427218
Tailgating,177,104,116,car,Outer,0.33741662632921593
Tailgating,177,116,120,car,Outer,0.31176952535173
Tailgating,177,120,108,car,Outer,1.3154405572916883
Tailgating,178,109,22,car,Outer,1.2567296288762326
Tailgating,178,22,111,car,Outer,1.2010492572797442
Tailgating,178,1,37,person,Outer,3.0770169407050783
Tailgating,178,116,120,car,Outer,0.2021736188827079
Tailgating,178,120,108,car,Outer,1.3337301605278575
Tailgating,179,109,22,car,Outer,1.2629369503832713
Tailgating,179,22,111,car,Outer,1.1849683963124265
Tailgating,179,104,116,car,Outer,0.4921580772246298
Tailgating,179,116,120,car,Outer,0.09826827333703066
Tailgating,179,120,108,car,Outer,1.346579803511611
Tailgating,180,109,22,car,Outer,1.2533371084409484
Tailgating,180,22,111,car,Outer,1.1927252395069186
Tailgating,180,1,37,person,Outer,3.030597100329206
Tailgating,180,104,120,car,Outer,0.493083848295818
Tailgating,180,120,108,car,Outer,1.367774396755476
Tailgating,181,109,22,car,Outer,1.262718635872295
Tailgating,181,1,37,person,Outer,3.0078221247594694
Tailgating,181,104,120,car,Outer,0.4542136247564972
Tailgating,181,120,108,car,Outer,1.3841584336928312
Tailgating,182,109,22,car,Outer,1.2552539644372989
Tailgating,182,22,111,car,Outer,1.1773869032615336
Tailgating,182,1,37,person,Outer,3.0153550007101377
Tailgating,182,104,120,car,Outer,0.4120321981183041
Tailgating,182,120,108,car,Outer,1.4120994551737476
Tailgating,183,109,22,car,Outer,1.2585907066339848
Tailgating,183,22,111,car,Outer,1.1687520865688636
Tailgating,183,111,88,car,Outer,3.9576521787756533
Tailgating,183,88,1,car,Outer,3.3851959484286365
Tailgating,183,1,37,person,Outer,3.03795171663802
Tailgating,183,104,120,car,Outer,0.3862588381750487
Tailgating,184,109,22,car,Outer,1.2738798181013604
Tailgating,184,22,111,car,Outer,1.156849146735541
Tailgating,184,111,88,car,Outer,3.9742913249973273
Tailgating,184,1,126,person,Outer,0.5522059253917103
Tailgating,184,120,108,car,Outer,1.4367172958459227
Tailgating,185,109,22,car,Outer,1.293716880298029
Tailgating,185,22,111,car,Outer,1.148600857237142
Tailgating,185,111,88,car,Outer,3.9709720667858064
Tailgating,185,88,1,car,Outer,3.3870467027426523
Tailgating,185,1,126,person,Outer,0.5355531060244001
Tailgating,185,126,37,car,Outer,2.7978946068898765
Tailgating,185,120,108,car,Outer,1.4611139007131773
Tailgating,186,109,22,car,Outer,1.318908351236764
Tailgating,186,22,129,car,Outer,0.08447077986029451
Tailgating,186,111,88,car,Outer,3.9882751672761034
Tailgating,186,1,126,person,Outer,0.5237754814977875
Tailgating,186,126,37,car,Outer,2.781701016871086
Tailgating,186,120,108,car,Outer,1.4774126036146065
Tailgating,187,109,22,car,Outer,1.33217771060152
Tailgating,187,22,129,car,Outer,0.08099252263004636
Tailgating,187,111,88,car,Outer,3.975617258031106
Tailgating,187,88,131,car,Outer,3.4493489755749
Tailgating,187,1,126,person,Outer,0.5227416987958138
Tailgating,187,126,37,car,Outer,2.7615254452258844
Tailgating,187,120,86,car,Outer,0.4172465030395362
Tailgating,187,86,108,motorcycle,Outer,1.0745869433565782
Tailgating,188,109,22,car,Outer,1.3274443645110237
Tailgating,188,22,129,car,Outer,0.08064744552984886
Tailgating,188,129,111,car,Outer,0.9912244307161795
Tailgating,188,111,88,car,Outer,3.9869636514571383
Tailgating,188,131,1,motorcycle,Outer,0.04056770067238014
Tailgating,188,1,126,person,Outer,0.480741534787321
Tailgating,188,126,37,car,Outer,2.737625767511271
Tailgating,188,120,108,car,Outer,1.5263882478393107
Tailgating,189,109,22,car,Outer,1.340490972926354
Tailgating,189,22,129,car,Outer,0.05571652483389878
Tailgating,189,129,111,car,Outer,1.0004832383171667
Tailgating,189,111,88,car,Outer,3.9838069634055677
Tailgating,189,88,131,car,Outer,3.406574737383781
Tailgating,189,131,1,motorcycle,Outer,0.04014857996917556
Tailgating,189,1,126,person,Outer,0.47018141885518694
Tailgating,189,126,37,car,Outer,2.765887470748701
Tailgating,189,120,108,car,Outer,1.5440640532991212
Tailgating,190,109,22,car,Outer,1.3377576549210892
Tailgating,190,22,129,car,Outer,0.025346984962566755
Tailgating,190,129,111,car,Outer,1.0190279413519299
Tailgating,190,131,1,motorcycle,Outer,0.08106365204134545
Tailgating,190,1,126,person,Outer,0.4400480577914494
Tailgating,190,126,37,car,Outer,2.7916230071692247
Tailgating,190,86,120,motorcycle,Outer,0.08622903466276778
Tailgating,190,120,108,car,Outer,1.558079150007529
Tailgating,191,109,22,car,Outer,1.3348120965237682
Tailgating,191,22,129,car,Outer,0.011561279805223946
Tailgating,191,129,111,car,Outer,1.0265650961984436
Tailgating,191,88,131,car,Outer,3.365140418481845
