violation_type,frame,track_id,leader_track_id,class_name,lane,d
Vehicle Stoppage,109,22,,car,Outer,0.19715602958063336
Vehicle Stoppage,110,22,,car,Outer,0.1948723684876819
Vehicle Stoppage,111,22,,car,Outer,0.18418808321930102
Vehicle Stoppage,112,22,,car,Outer,0.17794785753135772
Vehicle Stoppage,113,22,,car,Outer,0.17472850368499657
Vehicle Stoppage,114,22,,car,Outer,0.16860112692386947
Vehicle Stoppage,115,22,,car,Outer,0.16408257067708312
Vehicle Stoppage,116,22,,car,Outer,0.16098288728930688
Vehicle Stoppage,117,22,,car,Outer,0.16494859805406392
Vehicle Stoppage,118,22,,car,Outer,0.1542806857646182
Vehicle Stoppage,119,22,,car,Outer,0.1600491487012618
Vehicle Stoppage,120,22,,car,Outer,0.17418668146560465
Vehicle Stoppage,121,22,,car,Outer,0.16714870624686776
Vehicle Stoppage,122,22,,car,Outer,0.17665435177204172
Vehicle Stoppage,123,22,,car,Outer,0.17971046157639367
Vehicle Stoppage,124,22,,car,Outer,0.19273486970446815
Vehicle Stoppage,125,22,,car,Outer,0.2083230664136804
Vehicle Stoppage,126,22,,car,Outer,0.2230010986520026
Vehicle Stoppage,127,22,,car,Outer,0.23317377639863712
Vehicle Stoppage,128,22,,car,Outer,0.23305769671907417
Vehicle Stoppage,129,22,,car,Outer,0.24354114642088615
Vehicle Stoppage,130,22,,car,Outer,0.23743849729982455
Vehicle Stoppage,131,22,,car,Outer,0.23128322464027257
Vehicle Stoppage,132,22,,car,Outer,0.23868912836574221
Vehicle Stoppage,133,22,,car,Outer,0.25132866927591396
Vehicle Stoppage,134,22,,car,Outer,0.2713250817746135
Vehicle Stoppage,135,22,,car,Outer,0.285100859346309
Vehicle Stoppage,136,22,,car,Outer,0.3155455593095891
Vehicle Stoppage,137,22,,car,Outer,0.3480493212175545
Vehicle Stoppage,138,22,,car,Outer,0.3781016397742815
Vehicle Stoppage,139,22,,car,Outer,0.3933018306593586
Vehicle Stoppage,140,22,,car,Outer,0.4047045836162492
Vehicle Stoppage,141,22,,car,Outer,0.41475946041048906
Vehicle Stoppage,142,22,,car,Outer,0.4248523743607908
Vehicle Stoppage,143,22,,car,Outer,0.4411895284342126
Vehicle Stoppage,144,22,,car,Outer,0.45431726799671623
Vehicle Stoppage,145,22,,car,Outer,0.47249808465220483
Vehicle Stoppage,146,22,,car,Outer,0.48543839979960324
Vehicle Stoppage,147,22,,car,Outer,0.5025787997916347
Vehicle Stoppage,148,22,,car,Outer,0.5366669171842086
Vehicle Stoppage,149,22,,car,Outer,0.5694569781818473
Vehicle Stoppage,150,22,,car,Outer,0.5918348418266668
Vehicle Stoppage,151,22,,car,Outer,0.6097390425419665
Vehicle Stoppage,152,22,,car,Outer,0.623004478314566
Vehicle Stoppage,153,22,,car,Outer,0.6464649101072709
Vehicle Stoppage,154,22,,car,Outer,0.6688598806925145
Vehicle Stoppage,155,22,,car,Outer,0.6979609516298162
Vehicle Stoppage,156,22,,car,Outer,0.725376240305676
Vehicle Stoppage,157,22,,car,Outer,0.7477917490852649
Vehicle Stoppage,158,22,,car,Outer,0.7751579774471813
Vehicle Stoppage,159,22,,car,Outer,0.7999664117948934
